date,day,isTest,testName,isImportant,importance,isHoliday,holidayDescription,IsAcademicEvent,academicEventDescription,isInstituteEvent,instituteEventDescripton
01-02-2023,Monday,No,,Yes,Reporting date,No,,No,,No,
01-03-2023,Tuesday,No,,Yes,First day of classes,No,,No,,No,
01-04-2023,Wednesday,No,,No,,No,,No,,No,
01-05-2023,Thursday,No,,No,,No,,No,,No,
01-06-2023,Friday,No,,No,,No,,No,,No,
01-07-2023,Saturday,No,,No,,No,,No,,No,
01-08-2023,Sunday,No,,No,,Yes,Sunday,No,,No,
01-09-2023,Monday,No,,No,,No,,No,,No,
01-10-2023,Tuesday,No,,Yes,Late Registration,No,,No,,No,
01-11-2023,Wednesday,No,,No,,No,,No,,No,
01-12-2023,Thursday,No,,No,,No,,No,,No,
01-13-2023,Friday,No,,No,,No,,No,,No,
01-14-2023,Saturday,No,,No,,Yes,Bhogi,No,,No,
01-15-2023,Sunday,No,,No,,Yes,Sunday,No,,No,
01-16-2023,Monday,No,,No,,No,,No,,No,
01-17-2023,Tuesday,No,,No,,No,,No,,No,
01-18-2023,Wednesday,No,,No,,No,,No,,No,
01-19-2023,Thursday,No,,No,,No,,No,,No,
01-20-2023,Friday,No,,No,,No,,No,,No,
01-21-2023,Saturday,No,,No,,No,,No,,Yes,R&D Showcase
01-22-2023,Sunday,No,,No,,Yes,Sunday,No,,Yes,R&D Showcase
01-23-2023,Monday,No,,No,,No,,No,,No,
01-24-2023,Tuesday,No,,No,,No,,No,,No,
01-25-2023,Wednesday,No,,No,,No,,No,,No,
01-26-2023,Thursday,No,,No,,Yes,Republic Day,No,,No,
01-27-2023,Friday,No,,No,,No,,No,,No,
01-28-2023,Saturday,No,,No,,No,,No,,No,
01-29-2023,Sunday,No,,No,,Yes,Sunday,No,,No,
01-30-2023,Monday,No,,No,,No,,No,,No,
01-31-2023,Tuesday,No,,No,,No,,No,,No,
02-01-2023,Wednesday,No,,No,,No,,No,,No,
02-02-2023,Thursday,Yes,Quiz 1,No,,No,,No,,No,
02-03-2023,Friday,Yes,Quiz 1,No,,No,,No,,No,
02-04-2023,Saturday,Yes,Quiz 1,No,,No,,No,,No,
02-05-2023,Sunday,No,,No,,Yes,Sunday,No,,No,
02-06-2023,Monday,No,,No,,No,,No,,No,
